total_name        ,total_value ,country_name          ,country_total_cases,country_total_deaths,country_total_recovered
Coronavirus Cases:,"14,858,918",                      ,                   ,                    ,
Deaths:           ,"613,341"   ,                      ,                   ,                    ,
Recovered:        ,"8,911,270" ,                      ,                   ,                    ,
                  ,            ,USA                   ,"3,961,429"        ,"143,834"           ,"1,849,989"
                  ,            ,Brazil                ,"2,121,645"        ,"80,251"            ,"1,409,202"
                  ,            ,India                 ,"1,156,189"        ,"28,099"            ,"724,702"
                  ,            ,Russia                ,"777,486"          ,"12,427"            ,"553,602"
                  ,            ,South Africa          ,"373,628"          ,"5,173"             ,"194,865"
                  ,            ,Peru                  ,"357,681"          ,"13,384"            ,"245,081"
                  ,            ,Mexico                ,"349,396"          ,"39,485"            ,"222,068"
                  ,            ,Chile                 ,"333,029"          ,"8,633"             ,"303,992"
                  ,            ,Spain                 ,"311,916"          ,"28,422"            ,N/A
                  ,            ,UK                    ,"295,372"          ,"45,312"            ,N/A
                  ,            ,Iran                  ,"276,202"          ,"14,405"            ,"240,087"
                  ,            ,Pakistan              ,"266,096"          ,"5,639"             ,"208,030"
                  ,            ,Saudi Arabia          ,"253,349"          ,"2,523"             ,"203,259"
                  ,            ,Italy                 ,"244,624"          ,"35,058"            ,"197,162"
                  ,            ,Turkey                ,"220,572"          ,"5,508"             ,"203,002"
                  ,            ,Bangladesh            ,"207,453"          ,"2,668"             ,"113,556"
                  ,            ,Colombia              ,"204,005"          ,"6,929"             ,"95,804"
                  ,            ,Germany               ,"203,487"          ,"9,173"             ,"187,800"
                  ,            ,France                ,"176,754"          ,"30,177"            ,"79,233"
                  ,            ,Argentina             ,"130,774"          ,"2,373"             ,"55,913"
                  ,            ,Canada                ,"111,124"          ,"8,858"             ,"97,474"
                  ,            ,Qatar                 ,"107,037"          ,159                 ,"103,782"
                  ,            ,Iraq                  ,"94,693"           ,"3,869"             ,"62,836"
                  ,            ,Egypt                 ,"88,402"           ,"4,352"             ,"28,924"
                  ,            ,Indonesia             ,"88,214"           ,"4,239"             ,"46,977"
                  ,            ,China                 ,"83,693"           ,"4,634"             ,"78,817"
                  ,            ,Sweden                ,"78,048"           ,"5,639"             ,N/A
                  ,            ,Ecuador               ,"74,620"           ,"5,318"             ,"31,955"
                  ,            ,Kazakhstan            ,"73,468"           ,585                 ,"43,401"
                  ,            ,Philippines           ,"68,898"           ,"1,835"             ,"23,072"
                  ,            ,Oman                  ,"68,400"           ,326                 ,"45,150"
                  ,            ,Belarus               ,"66,213"           ,503                 ,"58,290"
                  ,            ,Belgium               ,"64,094"           ,"9,805"             ,"17,321"
                  ,            ,Bolivia               ,"60,991"           ,"2,218"             ,"18,875"
                  ,            ,Kuwait                ,"59,763"           ,408                 ,"50,339"
                  ,            ,Ukraine               ,"59,493"           ,"1,498"             ,"31,439"
                  ,            ,UAE                   ,"57,193"           ,340                 ,"49,621"
                  ,            ,Panama                ,"54,426"           ,"1,127"             ,"29,164"
                  ,            ,Dominican Republic    ,"53,956"           ,993                 ,"25,561"
                  ,            ,Israel                ,"52,003"           ,415                 ,"22,154"
                  ,            ,Netherlands           ,"51,910"           ,"6,136"             ,N/A
                  ,            ,Portugal              ,"48,771"           ,"1,691"             ,"33,547"
                  ,            ,Singapore             ,"48,035"           ,27                  ,"44,371"
                  ,            ,Poland                ,"40,383"           ,"1,627"             ,"30,539"
                  ,            ,Guatemala             ,"39,039"           ,"1,502"             ,"25,539"
                  ,            ,Romania               ,"38,139"           ,"2,038"             ,"22,747"
                  ,            ,Nigeria               ,"37,225"           ,801                 ,"15,333"
                  ,            ,Bahrain               ,"36,936"           ,128                 ,"32,965"
                  ,            ,Afghanistan           ,"35,526"           ,"1,185"             ,"23,741"
                  ,            ,Armenia               ,"34,981"           ,650                 ,"23,502"
                  ,            ,Honduras              ,"34,611"           ,935                 ,"3,905"
                  ,            ,Switzerland           ,"33,634"           ,"1,971"             ,"30,300"
                  ,            ,Ghana                 ,"28,430"           ,153                 ,"24,901"
                  ,            ,Kyrgyzstan            ,"28,251"           ,"1,079"             ,"14,776"
                  ,            ,Azerbaijan            ,"27,890"           ,363                 ,"19,490"
                  ,            ,Ireland               ,"25,766"           ,"1,753"             ,"23,364"
                  ,            ,Japan                 ,"25,096"           ,985                 ,"19,757"
                  ,            ,Algeria               ,"23,691"           ,"1,087"             ,"16,400"
                  ,            ,Serbia                ,"21,253"           ,482                 ,"14,047"
                  ,            ,Moldova               ,"21,115"           ,695                 ,"14,467"
                  ,            ,Austria               ,"19,743"           ,711                 ,"17,659"
                  ,            ,Nepal                 ,"17,844"           ,40                  ,"11,868"
                  ,            ,Morocco               ,"17,562"           ,276                 ,"15,132"
                  ,            ,Uzbekistan            ,"17,314"           ,91                  ,"9,463"
                  ,            ,Cameroon              ,"16,157"           ,373                 ,"13,728"
                  ,            ,Ivory Coast           ,"14,312"           ,92                  ,"8,659"
                  ,            ,Czechia               ,"14,098"           ,359                 ,"8,836"
                  ,            ,S. Korea              ,"13,816"           ,296                 ,"12,643"
                  ,            ,Kenya                 ,"13,771"           ,238                 ,"5,616"
                  ,            ,Denmark               ,"13,262"           ,611                 ,"12,251"
                  ,            ,Australia             ,"12,428"           ,126                 ,"8,444"
                  ,            ,Venezuela             ,"12,334"           ,116                 ,"6,844"
                  ,            ,El Salvador           ,"12,207"           ,344                 ,"6,831"
                  ,            ,Costa Rica            ,"11,534"           ,66                  ,"3,019"
                  ,            ,Sudan                 ,"10,992"           ,693                 ,"5,707"
                  ,            ,Ethiopia              ,"10,207"           ,170                 ,"2,430"
                  ,            ,North Macedonia       ,"9,249"            ,432                 ,"4,871"
                  ,            ,Norway                ,"9,034"            ,255                 ,"8,138"
                  ,            ,Senegal               ,"8,948"            ,170                 ,"6,002"
                  ,            ,Bulgaria              ,"8,929"            ,308                 ,"4,205"
                  ,            ,Palestine             ,"8,916"            ,63                  ,"1,921"
                  ,            ,Malaysia              ,"8,800"            ,123                 ,"8,555"
                  ,            ,Bosnia and Herzegovina,"8,479"            ,255                 ,"3,755"
                  ,            ,DRC                   ,"8,443"            ,194                 ,"4,335"
                  ,            ,Finland               ,"7,340"            ,328                 ,"6,880"
                  ,            ,Madagascar            ,"7,153"            ,62                  ,"3,788"
                  ,            ,Haiti                 ,"7,100"            ,151                 ,"4,095"
                  ,            ,Tajikistan            ,"6,921"            ,57                  ,"5,629"
                  ,            ,French Guiana         ,"6,745"            ,38                  ,"4,714"
                  ,            ,Guinea                ,"6,590"            ,40                  ,"5,591"
                  ,            ,Gabon                 ,"6,433"            ,46                  ,"4,034"
                  ,            ,Mauritania            ,"5,923"            ,155                 ,"3,632"
                  ,            ,Luxembourg            ,"5,639"            ,111                 ,"4,464"
                  ,            ,Djibouti              ,"5,020"            ,56                  ,"4,868"
                  ,            ,CAR                   ,"4,548"            ,55                  ,"1,400"
                  ,            ,Croatia               ,"4,370"            ,122                 ,"3,101"
                  ,            ,Hungary               ,"4,339"            ,596                 ,"3,232"
                  ,            ,Albania               ,"4,171"            ,113                 ,"2,352"
                  ,            ,Greece                ,"4,012"            ,195                 ,"1,374"
                  ,            ,Paraguay              ,"3,748"            ,33                  ,"2,171"
                  ,            ,Zambia                ,"3,326"            ,128                 ,"1,620"
                  ,            ,Thailand              ,"3,255"            ,58                  ,"3,105"
                  ,            ,Nicaragua             ,"3,147"            ,99                  ,"2,282"
                  ,            ,Somalia               ,"3,130"            ,93                  ,"1,462"
                  ,            ,Equatorial Guinea     ,"3,071"            ,51                  ,842
                  ,            ,Maldives              ,"2,999"            ,15                  ,"2,369"
                  ,            ,Malawi                ,"2,992"            ,62                  ,"1,153"
                  ,            ,Lebanon               ,"2,905"            ,41                  ,"1,562"
                  ,            ,Congo                 ,"2,851"            ,50                  ,666
                  ,            ,Mayotte               ,"2,808"            ,38                  ,"2,591"
                  ,            ,Sri Lanka             ,"2,730"            ,11                  ,"2,041"
                  ,            ,Mali                  ,"2,475"            ,121                 ,"1,851"
                  ,            ,Cuba                  ,"2,446"            ,87                  ,"2,308"
                  ,            ,South Sudan           ,"2,211"            ,45                  ,"1,175"
                  ,            ,Montenegro            ,"2,188"            ,32                  ,385
                  ,            ,Cabo Verde            ,"2,071"            ,21                  ,"1,063"
                  ,            ,Estonia               ,"2,021"            ,69                  ,"1,912"
                  ,            ,Libya                 ,"1,980"            ,49                  ,441
                  ,            ,Slovakia              ,"1,980"            ,28                  ,"1,538"
                  ,            ,Hong Kong             ,"1,959"            ,12                  ,"1,302"
                  ,            ,Slovenia              ,"1,953"            ,113                 ,"1,603"
                  ,            ,Guinea-Bissau         ,"1,949"            ,26                  ,803
                  ,            ,Lithuania             ,"1,947"            ,80                  ,"1,601"
                  ,            ,Iceland               ,"1,930"            ,10                  ,"1,907"
                  ,            ,Eswatini              ,"1,826"            ,23                  ,850
                  ,            ,Zimbabwe              ,"1,713"            ,26                  ,472
                  ,            ,Sierra Leone          ,"1,711"            ,66                  ,"1,261"
                  ,            ,Rwanda                ,"1,629"            ,5                   ,838
                  ,            ,Yemen                 ,"1,619"            ,447                 ,714
                  ,            ,Benin                 ,"1,602"            ,31                  ,782
                  ,            ,New Zealand           ,"1,555"            ,22                  ,"1,506"
                  ,            ,Mozambique            ,"1,507"            ,11                  ,505
                  ,            ,Tunisia               ,"1,381"            ,50                  ,"1,099"
                  ,            ,Namibia               ,"1,344"            ,4                   ,42
                  ,            ,Jordan                ,"1,223"            ,11                  ,"1,028"
                  ,            ,Latvia                ,"1,192"            ,31                  ,"1,022"
                  ,            ,Liberia               ,"1,107"            ,70                  ,547
                  ,            ,Niger                 ,"1,105"            ,69                  ,"1,014"
                  ,            ,Suriname              ,"1,079"            ,21                  ,656
                  ,            ,Uganda                ,"1,069"            ,                    ,"1,071"
                  ,            ,Burkina Faso          ,"1,065"            ,53                  ,901
                  ,            ,Uruguay               ,"1,064"            ,33                  ,927
                  ,            ,Georgia               ,"1,039"            ,16                  ,900
                  ,            ,Cyprus                ,"1,038"            ,19                  ,847
                  ,            ,Chad                  ,889                ,75                  ,801
                  ,            ,Andorra               ,884                ,52                  ,803
                  ,            ,Jamaica               ,809                ,10                  ,706
                  ,            ,Togo                  ,783                ,15                  ,554
                  ,            ,Angola                ,749                ,29                  ,221
                  ,            ,Sao Tome and Principe ,746                ,14                  ,536
                  ,            ,San Marino            ,699                ,42                  ,656
                  ,            ,Malta                 ,677                ,9                   ,664
                  ,            ,Réunion               ,631                ,3                   ,472
                  ,            ,Channel Islands       ,583                ,47                  ,529
                  ,            ,Syria                 ,522                ,29                  ,154
                  ,            ,Botswana              ,522                ,1                   ,48
                  ,            ,Tanzania              ,509                ,21                  ,183
                  ,            ,Taiwan                ,455                ,7                   ,440
                  ,            ,Vietnam               ,384                ,                    ,360
                  ,            ,Lesotho               ,359                ,6                   ,69
                  ,            ,Mauritius             ,343                ,10                  ,332
                  ,            ,Myanmar               ,341                ,6                   ,278
                  ,            ,Guyana                ,337                ,19                  ,163
                  ,            ,Isle of Man           ,336                ,24                  ,312
                  ,            ,Comoros               ,334                ,7                   ,313
                  ,            ,Burundi               ,322                ,1                   ,207
                  ,            ,Mongolia              ,287                ,                    ,213
                  ,            ,Martinique            ,262                ,15                  ,98
                  ,            ,Eritrea               ,251                ,                    ,155
                  ,            ,Cayman Islands        ,203                ,1                   ,200
                  ,            ,Guadeloupe            ,195                ,14                  ,172
                  ,            ,Faeroe Islands        ,191                ,                    ,188
                  ,            ,Gibraltar             ,180                ,                    ,180
                  ,            ,Bahamas               ,174                ,11                  ,91
                  ,            ,Cambodia              ,171                ,                    ,136
                  ,            ,Bermuda               ,153                ,9                   ,137
                  ,            ,Brunei                ,141                ,3                   ,138
                  ,            ,Trinidad and Tobago   ,137                ,8                   ,124
                  ,            ,Aruba                 ,115                ,3                   ,100
                  ,            ,Gambia                ,112                ,4                   ,57
                  ,            ,Monaco                ,109                ,4                   ,100
                  ,            ,Seychelles            ,108                ,                    ,27
                  ,            ,Barbados              ,106                ,7                   ,91
                  ,            ,Bhutan                ,90                 ,                    ,83
                  ,            ,Liechtenstein         ,86                 ,1                   ,81
                  ,            ,Turks and Caicos      ,81                 ,2                   ,22
                  ,            ,Sint Maarten          ,79                 ,15                  ,63
                  ,            ,Antigua and Barbuda   ,76                 ,3                   ,57
                  ,            ,French Polynesia      ,62                 ,                    ,60
                  ,            ,St. Vincent Grenadines,50                 ,                    ,29
                  ,            ,Saint Martin          ,46                 ,3                   ,39
                  ,            ,Macao                 ,46                 ,                    ,46
                  ,            ,Belize                ,40                 ,2                   ,22
                  ,            ,Curaçao               ,28                 ,1                   ,24
                  ,            ,Fiji                  ,27                 ,                    ,18
                  ,            ,Timor-Leste           ,24                 ,                    ,24
                  ,            ,Grenada               ,23                 ,                    ,23
                  ,            ,Saint Lucia           ,23                 ,                    ,19
                  ,            ,New Caledonia         ,22                 ,                    ,21
                  ,            ,Papua New Guinea      ,19                 ,1                   ,8
                  ,            ,Laos                  ,19                 ,                    ,19
                  ,            ,Dominica              ,18                 ,                    ,18
                  ,            ,Saint Kitts and Nevis ,17                 ,                    ,15
                  ,            ,Falkland Islands      ,13                 ,                    ,13
                  ,            ,Greenland             ,13                 ,                    ,13
                  ,            ,Montserrat            ,12                 ,1                   ,10
                  ,            ,Vatican City          ,12                 ,                    ,12
                  ,            ,Western Sahara        ,10                 ,1                   ,8
                  ,            ,Caribbean Netherlands ,10                 ,                    ,7
                  ,            ,British Virgin Islands,8                  ,1                   ,7
                  ,            ,St. Barth             ,6                  ,                    ,6
                  ,            ,Saint Pierre Miquelon ,4                  ,                    ,1
                  ,            ,Anguilla              ,3                  ,                    ,3
